,mean,design_only,cognate_ridge,pca_ridge,pls,multimodal_ae
TraesCAD_scaffold_102359_01G000100,-1.7762184e-05,0.057042718,0.2069071,0.64597607,0.6561655,0.15904725
TraesCAD_scaffold_252521_01G000200,-0.00014901161,-0.2617936,-0.3613205,-0.34006417,-0.47383952,-0.3195641
TraesCAD_scaffold_533954_01G000100,-0.000177145,-0.3895421,-0.3895421,-0.13093984,0.09484428,0.033357978
TraesCAD_scaffold_012914_01G000200,-0.0019278526,0.10085243,0.116241634,-0.08911896,0.030593395,0.013167083
TraesCAD_scaffold_019651_01G000400,-0.0007916689,-0.5856141,-0.714671,-0.49155986,-0.6802999,-0.12511039
TraesCAD_scaffold_099581_01G000100,-7.987022e-06,0.24522662,0.2059288,0.7359319,0.7625358,-0.058609843
TraesCAD_scaffold_067098_01G000300,-0.0003453493,-1.1000752,-1.0875015,-0.54080343,-0.78360283,-0.15853786
TraesCAD_scaffold_053097_01G000200,-0.009117126,-0.13651764,-0.120464206,-0.13711882,-0.3814217,-0.027487755
TraesCAD_scaffold_034316_01G000800,-0.0031317472,0.23693705,0.29875946,0.7809722,0.82011163,-0.020337343
TraesCAD_scaffold_058382_01G000100,-0.0050746202,-0.40914357,-0.39758086,-0.68633807,-0.8844427,-0.101254344
TraesCAD_scaffold_005667_01G000800,-0.40876615,-0.6817992,-0.6817992,0.073893845,0.23467976,-0.11450207
TraesCAD_scaffold_127436_01G000200,-0.0001347065,-0.38792324,-0.30966628,0.6235299,0.656565,-0.052792907
TraesCAD_scaffold_053798_01G000200,-0.0021071434,0.16494507,0.16494513,0.028413117,-0.23139322,-0.0136784315
TraesCAD_scaffold_010807_01G000300,-0.004550457,-0.19296765,-0.20986485,0.022000909,-0.09606969,0.023498476
TraesCAD_scaffold_074757_01G000400,-0.11080611,-0.5297103,-0.59853446,-0.92079616,-0.48346364,-0.33468807
TraesCAD_scaffold_022367_01G000200,-0.0050251484,0.15776402,0.16667408,-0.15300083,-0.23270857,0.013242841
TraesCAD_scaffold_107073_01G000400,-0.0026752949,-0.09596455,-0.0876044,-0.06453109,-0.2589718,-0.031636715
TraesCAD_scaffold_061872_01G000400,-4.1007996e-05,0.16508889,0.27213466,0.8273182,0.82116103,0.13944864
TraesCAD_scaffold_030600_01G000400,-0.0013256073,-0.16972148,0.10396272,0.7701827,0.7751094,-0.07414627
TraesCAD_scaffold_007850_01G000200,-0.0003581047,-0.24262321,-0.24899018,-0.3793168,-0.28228307,-0.1339277
TraesCAD_scaffold_019556_01G000300,-0.06289458,-0.44013155,-0.4283582,-0.7597507,-0.59591806,0.053302348
TraesCAD_scaffold_129097_01G000200,-0.024801135,-0.1366179,-0.13661802,0.11392057,-0.09599519,-0.21795154
TraesCAD_scaffold_033990_01G000200,-0.0021693707,0.18383783,0.2280817,0.1894458,-0.015734076,-0.052330494
TraesCAD_scaffold_111261_01G000100,-0.00613153,-0.8445711,-0.8523207,-0.9046092,-0.60330856,-0.114935875
TraesCAD_scaffold_045667_01G000200,-0.4870156,-0.25423682,-0.25423682,0.30432403,0.25463468,0.15610892
TraesCAD_scaffold_123656_01G000200,-0.0079113245,-0.12840271,-0.119021416,-0.1319561,-0.155218,-0.067186
TraesCAD_scaffold_027934_01G000100,-0.001288414,0.017657638,0.017657638,0.500273,0.3157559,0.06296986
TraesCAD_scaffold_065971_01G000300,-4.529953e-06,0.35124332,0.35124332,0.7966215,0.76539564,0.20995075
TraesCAD_scaffold_001469_01G001200,-0.0002475977,0.45390338,0.44837624,0.5766172,0.49112695,0.0021766424
TraesCAD_scaffold_130085_01G000100,-0.40055692,-2.792698,-2.792698,-3.6230059,-3.546863,-0.67631435
TraesCAD_scaffold_048500_01G000500,-0.0043171644,0.44096774,0.37450862,0.8306592,0.8251822,0.011549354
TraesCAD_scaffold_093310_01G000500,-0.023731709,-0.42500722,-0.42500746,-0.4866928,-0.52804816,-0.061739564
TraesCAD_scaffold_011485_01G000200,-1.1920929e-07,0.41859066,0.4185906,0.5814718,0.5033245,0.027992725
TraesCAD_scaffold_034179_01G000200,-4.196167e-05,-0.07538986,0.016781569,0.31161493,0.23474222,-0.11200535
TraesCAD_scaffold_023647_01G000200,-0.00068438053,0.20237863,0.18031377,-0.18888819,-0.15480709,0.030900002
TraesCAD_scaffold_080062_01G000100,-0.0018267632,-0.5363052,-0.52831066,-0.5213829,-0.4778453,-0.13858306
TraesCAD_scaffold_026490_01G000100,-0.0016365051,-0.059926033,-0.059925914,-0.123422265,-0.1501323,-0.1008966
TraesCAD_scaffold_018291_01G000300,-0.0001502037,-0.19865513,-0.19865513,-0.18739152,-0.38361096,-0.11137998
TraesCAD_scaffold_009983_01G000100,-0.00026905537,-0.31892765,-0.31892765,-0.64806855,-0.26208436,-0.03468156
TraesCAD_scaffold_014294_01G000500,-0.50240636,-0.13852572,-0.13852549,0.93102753,0.89665014,-0.28258884
TraesCAD_scaffold_145293_01G000200,-0.0025422573,-0.096802354,-0.096713305,-0.3087541,-0.43231738,-0.053468704
TraesCAD_scaffold_049074_01G000600,-9.2983246e-05,0.44773626,0.55773336,0.9276738,0.91442055,0.22849673
TraesCAD_scaffold_064515_01G000100,-0.00079631805,0.18890393,0.26998544,0.6103603,0.59945357,0.26331973
TraesCAD_scaffold_009030_01G000600,-0.00018787384,0.02941376,0.02941376,0.70933264,0.71032023,0.05142814
TraesCAD_scaffold_005666_01G000100,-0.0071932077,-0.63560927,-0.6356096,-0.24090755,-0.20528448,-0.1699295
TraesCAD_scaffold_003694_01G000100,-0.00021290779,0.20622808,0.20622796,0.6535744,0.6498177,0.20016682
TraesCAD_scaffold_117904_01G000300,-0.007929325,0.070908725,0.070908725,0.20461214,0.19743311,0.032511294
TraesCAD_scaffold_146234_01G000100,-0.0022140741,0.16294998,0.16294998,0.34172624,0.27650517,0.033800602
TraesCAD_scaffold_072372_01G000200,-0.00030136108,0.014464021,0.01446408,0.074447095,0.048918486,-0.18463314
TraesCAD_scaffold_056530_01G000200,-7.688999e-05,0.3748381,0.35936427,0.71684307,0.6655462,0.11597216
