,mean,design_only,cognate_ridge,pca_ridge,pls,multimodal_ae
TraesCAD_scaffold_021254_01G000200,-0.00024724007,-0.052342772,-0.052342772,-0.7437171,-1.0756161,-0.11140168
TraesCAD_scaffold_061353_01G000100,-1.1920929e-07,0.3003335,0.3003335,-0.8692926,-0.40869975,-0.31969786
TraesCAD_scaffold_170961_01G000100,-0.5010829,-0.3743435,-0.3743435,0.58612746,0.5803426,0.14107823
TraesCAD_scaffold_016018_01G000100,-0.3992045,-0.3675027,-0.3675027,-0.09599638,-0.363397,-1.2716088
TraesCAD_scaffold_012485_01G000400,-0.90230167,-1.0013537,-1.0013537,0.91300344,0.8533462,-0.4340664
TraesCAD_scaffold_027627_01G000100,-0.013278961,-0.27368808,-0.27368808,-0.070687175,-0.17790985,-0.013135195
TraesCAD_scaffold_032077_01G000100,-0.95614004,-1.266417,0.74251497,0.9091752,0.7828815,-1.36429
TraesCAD_scaffold_057435_01G000100,-0.0072556734,0.03182131,0.03182125,-1.2272038,-0.9864497,-0.16534209
TraesCAD_scaffold_012644_01G000200,-0.16392791,0.07974815,0.07974815,0.3634491,0.25964057,-0.45899308
TraesCAD_scaffold_001342_01G000100,-0.69805884,-0.7378224,0.3433175,0.408347,0.34312558,-0.78415227
TraesCAD_scaffold_064850_01G000100,-0.12233937,-0.19280207,-0.19280207,-0.3986845,0.03233522,0.11394209
TraesCAD_scaffold_146234_01G000100,-0.00012874603,0.17934376,0.17934376,-0.50661623,-0.58860004,0.10178965
TraesCAD_scaffold_014474_01G000300,-8.523464e-05,0.008651853,0.24682784,-0.69967866,-0.34224796,-0.0066468716
TraesCAD_scaffold_064357_01G000100,-0.019553661,-0.5165646,-0.5165646,-0.83506954,-0.94025564,-0.5203923
TraesCAD_scaffold_061524_01G000200,-0.0017696619,0.34139067,0.34139067,-0.5809274,-1.0213876,-0.12059474
TraesCAD_scaffold_023873_01G000100,-0.0069936514,-0.7405597,-0.7405597,-0.106833816,-0.09390688,-0.05813074
TraesCAD_scaffold_013787_01G000100,-0.72001004,-0.81432426,-0.06263614,0.3959871,0.33417016,-0.19712687
TraesCAD_scaffold_097324_01G000100,-0.6907611,-0.883518,-0.06850839,0.5598744,0.42851627,-1.0559864
TraesCAD_scaffold_011627_01G000100,-0.011678696,-0.026367307,0.15407467,0.37005532,-0.047914743,-0.059072614
TraesCAD_scaffold_030600_01G000400,-0.732262,-1.0782034,-1.0782034,0.47570723,0.6701164,0.25648195
TraesCAD_scaffold_019651_01G000400,-6.2823296e-05,-0.39064932,-0.39064932,-0.71270096,-0.78025043,-0.38836253
TraesCAD_scaffold_045752_01G000300,-1.0,-1.359261,-1.359261,0.9211943,0.81956637,-2.3597987
TraesCAD_scaffold_029491_01G000400,-0.86044395,-0.90521777,0.06497997,0.782337,0.8290474,0.21319646
TraesCAD_scaffold_022910_01G000100,-0.02699256,0.19875592,0.19875586,-0.11264801,0.21801054,0.044247866
TraesCAD_scaffold_040660_01G000300,-0.90990317,-1.1274145,-1.1274145,0.8954414,0.64308923,-1.9306657
TraesCAD_scaffold_083311_01G000200,-0.05707252,-0.08634472,-0.0863446,0.09073758,0.1167801,0.024693191
TraesCAD_scaffold_127436_01G000200,-0.035814047,-0.20243299,-0.20243299,0.65711987,0.6865078,-0.15852463
TraesCAD_scaffold_111708_01G000100,-0.35685956,-0.002719283,0.3211298,0.29714656,0.3659259,-0.012155175
TraesCAD_scaffold_078671_01G000200,-0.541183,-1.1394856,-1.1394854,0.127303,0.24953926,-1.4469771
TraesCAD_scaffold_013001_01G000100,-0.008858323,0.03347373,0.05075109,-1.1894262,-0.007557273,-0.06416166
TraesCAD_scaffold_027934_01G000100,-0.33225727,-0.31763458,-0.31763458,-0.2320832,0.38325173,-0.4476527
TraesCAD_scaffold_070188_01G000300,-0.66315436,-1.1490824,-1.1490824,-0.9403901,-1.6879971,-2.1707106
TraesCAD_scaffold_106075_01G000100,-0.0025036335,0.16159087,0.16159087,-1.7806628,-1.411099,-0.09910536
TraesCAD_scaffold_022872_01G000200,-0.009208918,-0.032167792,-0.2176317,-0.67521787,-1.375895,-0.11145091
TraesCAD_scaffold_511180_01G000200,-0.0038101673,-0.47725034,-0.47725034,-0.44372082,-0.36428487,-0.17368233
TraesCAD_scaffold_075753_01G000100,-0.9530481,-1.1096201,-1.1096201,0.93393373,0.9320044,0.20470715
