,mean,design_only,cognate_ridge,pca_ridge,pls,multimodal_ae
TraesNOR2B03G00885670,-0.050397277,-0.11391091,-0.11391091,-5.847695,-5.210451,-0.09591687
TraesNOR3D03G02007890,-0.32626998,-0.2462908,-0.2462908,0.59289753,0.5993545,-0.16629767
TraesNOR3A03G01325180,-0.012725949,-0.77558315,-0.77558315,-3.205863,-1.7090001,-0.44387674
TraesNOR4B03G02388340,-0.9702333,-1.2383249,-1.2383249,-1.0571952,-1.0386755,-1.4949894
TraesNORUn03G04729750,-9.536743e-07,0.3269573,0.32695723,0.14832598,0.25475317,-0.16477847
TraesNOR5D03G03145650,-0.00075113773,0.135243,0.084884286,-0.47148085,-0.40998614,-0.10672629
TraesNOR4D03G02517900,-0.003292799,0.050519466,0.050519466,-0.33472133,-0.71922684,0.05412507
TraesNORUn03G04753360,-0.0006920099,0.38453275,0.38453275,0.040858746,0.21186936,-0.8598912
TraesNOR5A03G02765830,-0.18325543,-0.196787,-0.196787,-0.49167943,-1.3059869,0.0075161457
TraesNOR3B03G01685470,-1.4305115e-05,-0.10805249,-0.10805249,-1.9141471,-0.37636805,-0.05728185
TraesNOR4B03G02362330,-0.009770155,-0.5937128,-0.5937128,-0.7162322,-0.43385458,-0.13261318
TraesNOR3D03G01885480,-0.0013822317,-0.22801328,-0.22801328,-1.2337809,-0.93819773,-0.021611333
TraesNORUn03G04612230,-0.6992017,-0.8766471,-0.8766471,-3.1668372,-3.9278183,-0.2962885
TraesNOR4B03G02381910,-0.0044555664,0.13511825,0.13511813,-0.3163557,-0.3448347,0.0017284751
TraesNOR7A03G03948080,-0.001752615,0.09878057,0.09878057,-2.2404745,-0.9348005,0.02334404
TraesNOR2D03G01162760,-0.012352943,-0.03479016,-0.0054295063,-0.3309058,-0.04296279,-0.10561788
TraesNOR5A03G02735290,-0.0057661533,-0.24845219,-0.24845219,0.56758744,0.20601392,-0.054423094
TraesNOR7D03G04462590,-0.32841384,-0.5028924,-0.5028924,-0.5739912,-0.61759055,-0.23406875
TraesNOR4B03G02403150,-0.0036050081,0.016468406,0.016468406,-1.2429016,-1.3262792,-0.1411401
