,mean,design_only,cognate_ridge,pca_ridge,pls,multimodal_ae
TraesNOR5D03G03233840,-0.006513834,0.30931503,0.4450404,0.4677974,0.44029337,0.12732553
TraesNOR4B03G02362330,-0.1599307,-0.8327247,-0.8097253,-0.89156985,-0.46121156,-0.198614
TraesNOR5D03G03152750,-0.00063049793,-0.014073491,-0.014521718,-0.032194853,0.12078762,-0.0063015223
TraesNOR6A03G03270300,-0.13675511,-0.39186835,-0.30484688,-0.26792455,-0.27937198,-0.21132219
TraesNOR6D03G03735260,-9.381771e-05,0.29760277,0.2976029,0.26543897,0.1798411,-0.025302768
TraesNOR2A03G00749150,-0.001806736,-0.11532283,-0.26846886,-1.1199465,0.036506653,-0.12835872
TraesNOR1B03G00394470,-0.3288151,0.19065154,0.1906519,0.984586,0.96386653,0.074662864
TraesNOR5A03G02666320,-0.007427931,0.43911314,0.42133814,0.22443748,-0.08692086,0.35278475
TraesNOR3D03G01885480,-2.7418137e-06,-0.47910392,-0.54115415,-0.5323621,-0.5223019,-0.32474327
TraesNOR5D03G03222570,-0.1082387,-0.6717479,-0.6788944,-1.8159678,-0.440256,-0.04029739
TraesNOR2A03G00787120,-0.3333329,0.41369742,0.41369742,0.906382,0.9964632,0.2529804
TraesNOR7B03G04192030,-0.00089251995,0.20358652,0.205387,0.69868207,0.6620408,0.042524934
TraesNOR6D03G03828530,-0.0012611151,0.28338534,0.28683078,-0.16216171,-0.12978947,0.20198
TraesNOR3D03G02007880,-0.00029611588,0.3070584,0.32145047,0.62108576,0.6437721,0.23292148
TraesNOR1D03G00484040,-0.0037651062,0.022839963,0.028572619,-0.08677387,-0.056632757,-0.085078955
TraesNOR4A03G02194530,-0.0073376894,-0.14558089,-0.14558089,-0.4611125,-0.33487785,-0.13446188
TraesNOR7D03G04361770,-0.0003604889,0.21382421,0.18800026,0.83238894,0.8395759,0.24674517
TraesNOR7A03G04083670,-0.00080406666,-0.24027193,-0.20924187,-0.25207353,-0.19254982,-0.14217126
TraesNOR5B03G02988160,-0.00010597706,0.512051,0.52208483,0.45262092,0.4891302,0.17403573
TraesNOR5D03G03121190,-0.0009999275,-0.6848023,-0.71582544,-1.2635825,-0.21583116,-0.076328516
TraesNOR3A03G01462160,-0.00020182133,0.3599124,0.36772954,0.5929884,0.60073376,-0.09770596
TraesNOR7A03G03881060,-0.002998352,-0.7131312,-0.7131312,-0.94891727,-0.7583709,-0.03430724
TraesNOR1B03G00250480,-6.258488e-05,0.34568638,0.38734305,0.83020407,0.8265096,0.035455883
TraesNOR7A03G03850720,-0.0012739897,0.192527,0.18437105,0.6151289,0.6422193,0.16918391
TraesNOR3A03G01455290,-0.31866157,-0.09818268,-0.09818256,0.8213873,0.8845707,0.21611977
TraesNOR3B03G01633070,-0.00077581406,-0.07374811,-0.067804575,-0.36961555,-0.21251965,-0.26172566
TraesNOR6B03G03469790,-0.0005675554,0.32400143,0.3409893,0.6907319,0.59930086,0.27782232
TraesNOR5D03G03202650,-0.00013828278,-0.17975223,-0.13884664,0.16592795,0.20355731,-0.1005944
TraesNOR3D03G01995240,-0.0063866377,-0.5010414,-0.49205458,-0.5758692,-0.5307828,-0.14894307
TraesNOR4D03G02520960,-0.0020992756,-0.6826863,-0.66451764,-0.51774883,-0.40157104,-0.07471609
TraesNOR7A03G03948080,-0.0024563074,0.102086365,0.102086365,0.07007182,-0.057381988,0.050474644
TraesNOR1D03G00449040,-0.0031365156,-0.2358712,-0.24517858,-0.1209892,0.11192113,-0.025154114
TraesNOR6B03G03471840,-3.5762787e-06,0.24002916,0.21200871,0.7615679,0.7349024,0.29154962
TraesNOR6D03G03699160,-0.0006710291,-0.5818002,-0.6672478,-0.48724914,-0.26561522,-0.13742661
TraesNOR2A03G00667450,-0.0067435503,-0.06240952,-0.06310177,0.15177262,0.12411457,0.08184117
TraesNOR1D03G00512160,-0.0012497902,0.10334444,0.102718234,-0.1850326,-0.03936827,0.042040944
TraesNOR3D03G01978050,-0.00092339516,-0.15042067,-0.12752032,0.20505327,0.24550259,-0.07202554
TraesNOR7B03G04254820,-0.109643936,0.06956041,0.06956041,-0.22037137,-0.020650387,-0.04834199
